caminho_relativo,nome_arquivo,extensao,tamanho_bytes,tamanho_legivel,data_modificacao,data_criacao,path,path_l,name_l,categoria_sugerida,dup_tipo
2_ARQUIVOS_SOLTOS\Markdowns\Guia_Uso_Hashtags_Karina_2024-2025.md,Guia_Uso_Hashtags_Karina_2024-2025.md,.md,12202,11.92 KB,2025-12-23 21:31,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\Guia_Uso_Hashtags_Karina_2024-2025.md,2_arquivos_soltos\markdowns\guia_uso_hashtags_karina_2024-2025.md,guia_uso_hashtags_karina_2024-2025.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
Guia_Uso_Hashtags_Karina_2024-2025.md,Guia_Uso_Hashtags_Karina_2024-2025.md,.md,12202,11.92 KB,2025-12-23 21:31,2025-12-28 11:09,Guia_Uso_Hashtags_Karina_2024-2025.md,guia_uso_hashtags_karina_2024-2025.md,guia_uso_hashtags_karina_2024-2025.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
Guia_Uso_Hashtags_Karina_2024-2025.md,Guia_Uso_Hashtags_Karina_2024-2025.md,.md,12202,11.92 KB,2025-12-23 21:31,2025-12-28 11:09,Guia_Uso_Hashtags_Karina_2024-2025.md,guia_uso_hashtags_karina_2024-2025.md,guia_uso_hashtags_karina_2024-2025.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\PDFs\Manual Completo das Redes Sociais_ Instagram Marke.pdf,Manual Completo das Redes Sociais_ Instagram Marke.pdf,.pdf,413745,404.05 KB,2025-11-19 04:13,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\Manual Completo das Redes Sociais_ Instagram Marke.pdf,2_arquivos_soltos\pdfs\manual completo das redes sociais_ instagram marke.pdf,manual completo das redes sociais_ instagram marke.pdf,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\PDFs\Manual Completo das Redes Sociais_ Instagram Marke.pdf,Manual Completo das Redes Sociais_ Instagram Marke.pdf,.pdf,413745,404.05 KB,2025-11-19 04:13,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\Manual Completo das Redes Sociais_ Instagram Marke.pdf,2_arquivos_soltos\pdfs\manual completo das redes sociais_ instagram marke.pdf,manual completo das redes sociais_ instagram marke.pdf,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
Manual Completo das Redes Sociais_ Instagram Marke.pdf,Manual Completo das Redes Sociais_ Instagram Marke.pdf,.pdf,413745,404.05 KB,2025-11-19 04:13,2025-12-28 11:30,Manual Completo das Redes Sociais_ Instagram Marke.pdf,manual completo das redes sociais_ instagram marke.pdf,manual completo das redes sociais_ instagram marke.pdf,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
Manual Completo das Redes Sociais_ Instagram Marke.pdf,Manual Completo das Redes Sociais_ Instagram Marke.pdf,.pdf,413745,404.05 KB,2025-11-19 04:13,2025-12-28 11:30,Manual Completo das Redes Sociais_ Instagram Marke.pdf,manual completo das redes sociais_ instagram marke.pdf,manual completo das redes sociais_ instagram marke.pdf,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\PDFs\Organico Instagram(@EQUIPE7NAPISTA) (2).pdf,Organico Instagram(@EQUIPE7NAPISTA) (2).pdf,.pdf,231231,225.81 KB,2025-12-22 13:36,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\Organico Instagram(@EQUIPE7NAPISTA) (2).pdf,2_arquivos_soltos\pdfs\organico instagram(@equipe7napista) (2).pdf,organico instagram(@equipe7napista) (2).pdf,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\PDFs\Organico Instagram(@EQUIPE7NAPISTA) (2).pdf,Organico Instagram(@EQUIPE7NAPISTA) (2).pdf,.pdf,231231,225.81 KB,2025-12-22 13:36,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\PDFs\Organico Instagram(@EQUIPE7NAPISTA) (2).pdf,2_arquivos_soltos\pdfs\organico instagram(@equipe7napista) (2).pdf,organico instagram(@equipe7napista) (2).pdf,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
Organico Instagram(@EQUIPE7NAPISTA) (2).pdf,Organico Instagram(@EQUIPE7NAPISTA) (2).pdf,.pdf,231231,225.81 KB,2025-12-22 13:36,2025-12-28 11:30,Organico Instagram(@EQUIPE7NAPISTA) (2).pdf,organico instagram(@equipe7napista) (2).pdf,organico instagram(@equipe7napista) (2).pdf,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
