"caminho_relativo","nome_arquivo","extensao","tamanho_bytes","tamanho_legivel","data_modificacao","data_criacao"
"2_ARQUIVOS_SOLTOS\Markdowns\DIAGNOSTICO_REAL_PORTAL_RODOVANSKY.md","DIAGNOSTICO_REAL_PORTAL_RODOVANSKY.md",".md","6250","6.1 KB","2025-12-21 21:49","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\FLUXOGRAMA-MASTER-RODOVANSKY.md","FLUXOGRAMA-MASTER-RODOVANSKY.md",".md","53576","52.32 KB","2025-12-09 21:28","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\gpt-builder-instagram.md","gpt-builder-instagram.md",".md","9139","8.92 KB","2025-12-22 17:09","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\GPT_System_Prompt_Karina_MARKDOWN.md","GPT_System_Prompt_Karina_MARKDOWN.md",".md","11128","10.87 KB","2025-12-23 13:17","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\Guia_Uso_Hashtags_Karina_2024-2025.md","Guia_Uso_Hashtags_Karina_2024-2025.md",".md","12202","11.92 KB","2025-12-23 21:31","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\instagram-growth-map-2025 (1).md","instagram-growth-map-2025 (1).md",".md","21535","21.03 KB","2025-12-27 19:37","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\instagram-growth-map-2025.md","instagram-growth-map-2025.md",".md","21535","21.03 KB","2025-12-27 19:05","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\instagram_branding_completo.md","instagram_branding_completo.md",".md","32420","31.66 KB","2025-12-22 11:34","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\Intimax-Site-Conversao-SEO-Copy.md","Intimax-Site-Conversao-SEO-Copy.md",".md","22771","22.24 KB","2025-12-17 03:04","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\LIB_09_SEGURANCA_ETICA_SAUDE_INTIMAX.md","LIB_09_SEGURANCA_ETICA_SAUDE_INTIMAX.md",".md","7641","7.46 KB","2025-12-19 13:23","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\LIB_10_OBJECOES_ESPECIFICAS_INTIMAX.md","LIB_10_OBJECOES_ESPECIFICAS_INTIMAX.md",".md","24816","24.23 KB","2025-12-19 13:19","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\LIB_12_SCRIPTS_POR_CANAL_INTIMAX.md","LIB_12_SCRIPTS_POR_CANAL_INTIMAX.md",".md","23277","22.73 KB","2025-12-19 13:19","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\manifesto-intimax-sculpt-oficial.md","manifesto-intimax-sculpt-oficial.md",".md","38044","37.15 KB","2025-12-10 16:26","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\manual-completo-vendas-harmonizacao-intima (1).md","manual-completo-vendas-harmonizacao-intima (1).md",".md","52652","51.42 KB","2025-12-12 18:10","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\manual-completo-vendas-harmonizacao-intima.md","manual-completo-vendas-harmonizacao-intima.md",".md","52652","51.42 KB","2025-12-12 18:04","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\MAPA_COMPLETO_ASSETS_RODOVANSKY.md","MAPA_COMPLETO_ASSETS_RODOVANSKY.md",".md","9971","9.74 KB","2025-12-21 22:16","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\melhores paginas no instagram de auto estima femin.md","melhores paginas no instagram de auto estima femin.md",".md","4536","4.43 KB","2025-11-19 04:12","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\objecoes-harmonizacao-intima-masculina.md","objecoes-harmonizacao-intima-masculina.md",".md","44492","43.45 KB","2025-12-04 14:20","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\portal-karina-guide.md","portal-karina-guide.md",".md","71130","69.46 KB","2025-12-06 16:45","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\portal-rodovansky-completo (1).md","portal-rodovansky-completo (1).md",".md","59361","57.97 KB","2025-12-06 18:07","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\portal-rodovansky-completo.md","portal-rodovansky-completo.md",".md","59361","57.97 KB","2025-12-06 17:43","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\portal-rodovansky-otimizado.md","portal-rodovansky-otimizado.md",".md","25795","25.19 KB","2025-12-06 18:07","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\PROMPT-KOMMO-Instituto-Rodovansky.md","PROMPT-KOMMO-Instituto-Rodovansky.md",".md","13734","13.41 KB","2025-12-13 09:29","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\protocolo-12-2-instagram-facebook-ads.md","protocolo-12-2-instagram-facebook-ads.md",".md","2792","2.73 KB","2025-12-27 19:42","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\protocolo_instagram_50k.md","protocolo_instagram_50k.md",".md","49526","48.37 KB","2025-12-23 20:18","2025-12-27 22:21"
